f,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,core_number,closeness_centrality
0,0.9646655102194736,0.9638735952937627,0.9668904140583754,0.9522211328154461,0.9762802624632325,0.9681348517987782
1,0.9337808281167509,0.9343087714005581,0.9386077381401312,0.9119466023078664,0.9519948714081001,0.9377026925107474
2,0.9029338562485859,0.9029715664831435,0.9141337959122106,0.8714835206274983,0.9251074741684894,0.9148125801342485
3,0.8703522135907685,0.8685798325665586,0.8927143826834603,0.8339618372426276,0.9012746059280489,0.8915453654121729
4,0.8399954747718531,0.8382230937476431,0.8666189003695604,0.7964024436231993,0.8761595897126481,0.8675993664680595
5,0.8067727581265556,0.804962666867788,0.840108605475526,0.7587676295346557,0.8506674711516705,0.8411267818085828
6,0.7764914397767554,0.7688362621615507,0.8128818161248963,0.7230560374085527,0.8240063353194057,0.8169168112225658
7,0.74258993890942,0.7339165849611584,0.7889735274153405,0.6863639791839505,0.7989290293385625,0.7905196470322046
8,0.7093672222641225,0.7010332604268799,0.7658571536314955,0.6497850516630214,0.7695527566181461,0.7651029489403424
9,0.6774266535937854,0.6649822761897579,0.7441737687608417,0.6144882721170526,0.7449279734519949,0.7373105060713477
10,0.6397918395052418,0.6291952635945396,0.7298061693943736,0.5785127083490459,0.719926087940267,0.7094803529677954
11,0.6050984237121955,0.5955577343691077,0.7196621162983634,0.5403876612112527,0.6908137868617543,0.6812353872841089
12,0.5711215023757448,0.5597330115393317,0.7127988536088694,0.5036201825175353,0.6638886793875858,0.6499736028358096
13,0.5335621087563165,0.5242476808205747,0.7071800286597782,0.46722980616939436,0.6358699751112452,0.6228976544234105
14,0.491930009804661,0.4880458556452221,0.702013726525379,0.43163134474696435,0.6068330945018477,0.5925786258390527
15,0.4513915076551776,0.4500716494456595,0.7000527943283807,0.39361942831284413,0.5741006109057998,0.5617316539708876
16,0.41311561957915377,0.4130024888754808,0.6848555698016442,0.35436307413832113,0.5446489177162682,0.5317897277321065
17,0.3668074515423486,0.37401010634286147,0.656346632476054,0.3124292933102044,0.5152349347612942,0.4990572441360585
18,0.3170299419262388,0.3346783316992232,0.630364280865827,0.27106116600045255,0.48412399125122557,0.46685270382381777
19,0.2663850969153028,0.29327249415491363,0.6001960932196998,0.22573346406214648,0.44931744475450636,0.4350252658571536
20,0.2075948412399125,0.24790708198204991,0.5713477637830907,0.17716268195188173,0.4133041707519421,0.4028207255449129
21,0.13473866807451543,0.19628177087261484,0.5431027980994042,0.12361414888000603,0.37921411871181837,0.3685044120974432
22,0.04283882645750057,0.13703899238253262,0.5135756844407572,0.05630138019458481,0.3419186967342937,0.3341880986499736
23,0.008673353948261558,0.05305830002262614,0.4839354400784373,0.004789199788822686,0.3049626668677879,0.3010408024737914
24,0.0007542046911531789,0.005920506825552455,0.4535787012595218,0.0006787842220378611,0.26630967644618747,0.2661965457425145
25,0.0006787842220378611,0.0010558865676144505,0.421939814465646,0.00037710234557658946,0.2259974357040501,0.23335093144279356
26,0.00037710234557658946,0.0005656535183648843,0.3915076551776152,0.00033939211101893053,0.1797646881363602,0.19812957236594012
27,0.00037710234557658946,0.0004902330492495663,0.3601704502602006,0.0002639716419036126,0.12380270005279433,0.16732031073233275
28,0.0003016818764612716,0.0003016818764612716,0.32634436986198057,0.0002639716419036126,0.08631872690248134,0.13390904291424693
29,0.0002639716419036126,0.0002639716419036126,0.2952334263519119,0.00018855117278829473,0.04792970812278453,0.10992533373557584
30,0.00018855117278829473,0.0002639716419036126,0.2668753299645524,0.00018855117278829473,0.014254468662795082,0.08503657892752092
31,0.00018855117278829473,0.0002639716419036126,0.23640546044196395,0.0001508409382306358,0.011275360132740025,0.05984614224300475
32,0.00018855117278829473,0.0002639716419036126,0.2060487216230485,0.0001508409382306358,0.007240365035070518,0.03167659702843352
33,0.00018855117278829473,0.00018855117278829473,0.18115996681499358,0.00011313070367297684,0.006599291047590316,0.011199939663624708
34,0.00018855117278829473,0.0001508409382306358,0.15529074590843955,0.00011313070367297684,0.0007542046911531789,0.00644845010935968
35,0.0001508409382306358,0.0001508409382306358,0.12723433139754128,0.00011313070367297684,0.0007542046911531789,0.005958217060110114
36,0.0001508409382306358,0.0001508409382306358,0.09951730899766197,0.00011313070367297684,0.0006787842220378611,0.005882796590994796
37,0.0001508409382306358,0.0001508409382306358,0.06999019533901502,0.00011313070367297684,0.0006410739874802021,0.002338034542574855
38,0.0001508409382306358,0.0001508409382306358,0.050757975714608945,0.00011313070367297684,0.0006410739874802021,0.0018100912587676295
39,0.0001508409382306358,0.0001508409382306358,0.029640244362319934,7.54204691153179e-05,0.0006033637529225432,0.0012067275058450864
40,0.0001508409382306358,0.00011313070367297684,0.015159514292178898,7.54204691153179e-05,0.0005656535183648843,0.0011313070367297685
41,0.0001508409382306358,0.00011313070367297684,0.005128591899841617,7.54204691153179e-05,0.0004525228146919074,0.0010935968021721096
42,0.0001508409382306358,0.00011313070367297684,0.0040349950976695075,7.54204691153179e-05,0.0004525228146919074,0.0010935968021721096
43,0.00011313070367297684,7.54204691153179e-05,0.0040349950976695075,7.54204691153179e-05,0.0004525228146919074,0.0010935968021721096
44,0.00011313070367297684,7.54204691153179e-05,0.002903688060939739,7.54204691153179e-05,0.0004525228146919074,0.0009804660984991326
45,0.00011313070367297684,7.54204691153179e-05,0.0018100912587676295,7.54204691153179e-05,0.0004525228146919074,0.0007542046911531789
46,0.00011313070367297684,7.54204691153179e-05,0.001583829851421676,3.771023455765895e-05,0.0004525228146919074,0.0007542046911531789
47,0.00011313070367297684,7.54204691153179e-05,0.001470699147748699,3.771023455765895e-05,0.00037710234557658946,0.0007542046911531789
48,7.54204691153179e-05,7.54204691153179e-05,0.001470699147748699,3.771023455765895e-05,0.00037710234557658946,0.0006033637529225432
49,7.54204691153179e-05,7.54204691153179e-05,0.0013575684440757221,3.771023455765895e-05,0.00037710234557658946,0.0005656535183648843
50,7.54204691153179e-05,7.54204691153179e-05,0.0013198582095180632,3.771023455765895e-05,0.00037710234557658946,0.0005656535183648843
51,7.54204691153179e-05,7.54204691153179e-05,0.0013198582095180632,3.771023455765895e-05,0.00037710234557658946,0.0005656535183648843
52,7.54204691153179e-05,7.54204691153179e-05,0.000791914925710838,3.771023455765895e-05,0.00033939211101893053,0.0004902330492495663
53,7.54204691153179e-05,7.54204691153179e-05,0.00071649445659552,3.771023455765895e-05,0.00033939211101893053,0.0004902330492495663
54,7.54204691153179e-05,7.54204691153179e-05,0.0006410739874802021,3.771023455765895e-05,0.0001508409382306358,0.00041481258013424845
55,7.54204691153179e-05,7.54204691153179e-05,0.0005279432838072252,3.771023455765895e-05,0.0001508409382306358,0.00041481258013424845
56,7.54204691153179e-05,7.54204691153179e-05,0.0005279432838072252,3.771023455765895e-05,0.0001508409382306358,0.00041481258013424845
57,7.54204691153179e-05,7.54204691153179e-05,0.0005279432838072252,3.771023455765895e-05,0.00011313070367297684,0.00041481258013424845
58,7.54204691153179e-05,7.54204691153179e-05,0.0005279432838072252,3.771023455765895e-05,0.00011313070367297684,0.00033939211101893053
59,7.54204691153179e-05,7.54204691153179e-05,0.0005279432838072252,3.771023455765895e-05,0.00011313070367297684,0.00033939211101893053
60,7.54204691153179e-05,7.54204691153179e-05,0.0005279432838072252,3.771023455765895e-05,0.00011313070367297684,0.00033939211101893053
61,7.54204691153179e-05,7.54204691153179e-05,0.0005279432838072252,3.771023455765895e-05,0.00011313070367297684,0.00033939211101893053
62,7.54204691153179e-05,7.54204691153179e-05,0.0005279432838072252,3.771023455765895e-05,0.00011313070367297684,0.00033939211101893053
63,7.54204691153179e-05,7.54204691153179e-05,0.0005279432838072252,3.771023455765895e-05,0.00011313070367297684,0.00033939211101893053
64,7.54204691153179e-05,7.54204691153179e-05,0.0005279432838072252,3.771023455765895e-05,0.00011313070367297684,0.00033939211101893053
65,7.54204691153179e-05,7.54204691153179e-05,0.0004902330492495663,3.771023455765895e-05,0.00011313070367297684,0.00033939211101893053
66,7.54204691153179e-05,7.54204691153179e-05,0.0004902330492495663,3.771023455765895e-05,0.00011313070367297684,0.00033939211101893053
67,7.54204691153179e-05,7.54204691153179e-05,0.0004902330492495663,3.771023455765895e-05,0.00011313070367297684,0.00033939211101893053
68,7.54204691153179e-05,7.54204691153179e-05,0.0004525228146919074,3.771023455765895e-05,0.00011313070367297684,0.00033939211101893053
69,7.54204691153179e-05,7.54204691153179e-05,0.00037710234557658946,3.771023455765895e-05,0.00011313070367297684,0.00033939211101893053
70,7.54204691153179e-05,7.54204691153179e-05,0.00037710234557658946,3.771023455765895e-05,0.00011313070367297684,0.00033939211101893053
71,7.54204691153179e-05,7.54204691153179e-05,0.00037710234557658946,3.771023455765895e-05,0.00011313070367297684,0.00033939211101893053
72,7.54204691153179e-05,7.54204691153179e-05,0.00037710234557658946,3.771023455765895e-05,0.00011313070367297684,0.00033939211101893053
73,7.54204691153179e-05,7.54204691153179e-05,0.00037710234557658946,3.771023455765895e-05,0.00011313070367297684,0.0003016818764612716
74,7.54204691153179e-05,7.54204691153179e-05,0.00037710234557658946,3.771023455765895e-05,0.00011313070367297684,0.0003016818764612716
75,7.54204691153179e-05,7.54204691153179e-05,0.00037710234557658946,3.771023455765895e-05,0.00011313070367297684,0.0003016818764612716
76,7.54204691153179e-05,7.54204691153179e-05,0.00037710234557658946,3.771023455765895e-05,0.00011313070367297684,0.0003016818764612716
77,7.54204691153179e-05,7.54204691153179e-05,0.0003016818764612716,3.771023455765895e-05,0.00011313070367297684,0.0003016818764612716
