f,in_degree_centrality,out_degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,core_number,closeness_centrality,katz_centrality
0,0.21501300304138934,0.2102084894432935,0.20068761845991095,0.21399920659408472,0.21501300304138934,0.21752545510644863,0.21417551901970291,0.2147926125093666
1,0.202054039758452,0.1953982456913651,0.17521047295808173,0.20346453916339755,0.20394939833384756,0.20593291312205228,0.2035086172698021,0.2010843214175519
2,0.18975624807158284,0.18001498655617754,0.1449728919645612,0.1935910433287786,0.19411998060563318,0.19438444924406048,0.19456076166967867,0.18896284215630096
3,0.1766209723630273,0.16397055582492176,0.11760038788733636,0.18534843743112797,0.1840260942389915,0.18310045400449595,0.18543659364393705,0.17732622206550006
4,0.16441133688896725,0.1488517653281615,0.0773129986335787,0.17613611319257724,0.1738440516595407,0.17243355225459514,0.17719398774628642,0.1644554149953718
5,0.1528187949045709,0.13452638074668313,0.04672279278882179,0.16864283510380393,0.1648080398466082,0.1586811830563759,0.1678935072949266,0.1530832635429982
6,0.14096178428174724,0.11517609203508618,0.01895358575395601,0.1603120729933442,0.15436152862873012,0.1474853440296205,0.16026799488693966,0.14206373694186097
7,0.12870807070128268,0.09785339621809847,0.0008374840216864284,0.15158460792524353,0.14210781504826553,0.1343500683210649,0.14960109313703884,0.13192577246881473
8,0.11737999735531361,0.08172080927403359,0.0002203905320227443,0.1410940186009609,0.13276325649050116,0.12346277603914135,0.14096178428174724,0.12139110503812756
9,0.10997487547934941,0.06316392647771851,0.00013223431921364657,0.13302772512892846,0.12156741746374576,0.10900515713844933,0.1336007405121876,0.11085643760744038
10,0.09855864592057126,0.049235244853881074,0.00013223431921364657,0.12729757129633712,0.11398598316216335,0.09450346013135276,0.12676863401948252,0.10045400449596685
11,0.0854233702120157,0.03552695376206638,4.407810640454886e-05,0.12117071450610482,0.10323092519945343,0.08339577731740644,0.12103848018689117,0.08952263410763873
12,0.07070128267289637,0.022612068585533565,4.407810640454886e-05,0.11530832635429981,0.09357781989685723,0.07118614184334641,0.11389782694935426,0.07823863886807422
